Reino,Subreino,Rama,Grado,Serie,Phylum,Subphylum,Superclase,Clase,Superorden,Orden,Suborden,Superfamilia,Familia,Subfamilia,Género,Especie,Descripción,Subclase,Infraclase,Infraorden
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Uropygi,,,Thelyphonidae,,Typopeltis,stimpsoni,"        La mayor particularidad del Typopeltis, radica en su segundo par de     apéndices, los pedipalpos, que están casi tan     desarrollados como los de los escorpiones, y presentan también     fuertes pinzas.             A pesar de su aspecto, son inofensivos: ni pican, ni muerden ni tienen     glándulas venenosas.     ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Argiope,bruennichi,"  Esta magnífica araña abunda en toda Europa, norte de África y parte de Asia.     Además de la extraordinaria coloración negra y amarilla del abdomen de las hembras, es destacable su habilidad tejiendo telas, de estructura circular, y siempre dispuestas verticalmente entre dos cañas. Estas telas lucen unos hilos engrosados y blancos dispuestos en zigzag, que tienen un efecto estabilizante, aunque también se piensa que pueden atraer a ciertos animales. Cuando una presa cae en la tela, la araña la envuelve en seda rápidamente y le inyecta un veneno paralizante y disolvente de proteínas.     Los machos son mucho menores que las hembras (unos 6 milímetros frente a los 2 centímetros de éstas) y su coloración es poco vistosa.     Después del apareamiento, que a veces le cuesta la vida al macho, o la pérdida de alguna de sus patas, la hembra pone entre 300 y 400 huevos, en apenas dos minutos, que empaqueta en el interior de un capullo marrón que deja pendiente de alguna planta. La hembra morirá en el invierno, y las jóvenes argíopes eclosionarán en la siguiente primavera.  Rev: septiembre-13 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,Tegenaria,atrica,"   La araña doméstica ha seguido al hombre a todas las partes del mundo, de manera que es muy difícil encontrarlas separadas de aquél.     Es una de las arañas más grandes de toda Europa, alcanzando las hembras casi los 2 centímetros, y los machos 1,5. Es posible ver a las hembras durante todo el año, mientras que los machos sólo aparecen entre junio y octubre, la época reproductiva.     Las hembras protegen con su presencia el saco de huevos, del que saldrán unas 60 arañuelas que permanecerán juntas alrededor de un mes.     La araña doméstica teje una tela en forma de hamaca horizontal, con hilos de sostén que pueden ser muy largos. En el extremo de la tela construye un pequeño túnel en el que espera. La seda no tiene sustancia pegajosa, por lo que la propietaria debe estar muy atenta para avalanzarse rápidamente sobre las presas. Son capaces de correr a considerable velocidad.     Los adultos pueden practicar el canibalismo con las pequeñas arañas.     A pesar de su tamaño, su mordedura apenas puede traspasar la piel humana, y en caso de hacerlo, el veneno no tiene efectos apreciables.  Rev: enero-11 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,Parasitiformes,Ixodida,Ixodina,Ixodoidea,Ixodidae,Amblyomminae,Dermacentor,marginatus,"   Es una garrapata relativamente grande, que puede alcanzar hasta dos centímetros de longitud en las hembras cuando están llenas de sangre. La longitud del cuerpo sin alimentarse es de unos cinco milímetros.     En todos los estadios de su desarrollo, se alimenta de sangre que extrae picando a su huésped con su estilete tubular, y realizando movimientos de bombeo con las paredes de su estómago. Puede vivir más de diez meses sin ingerir alimento.     La hembra pone los huevos en lugares protegidos. Las larvas, que sólo tienen seis patas, trepan por ramas, hierbas y arbustos hasta que aparece un hospedador apropiado para adherirse a él. Las ninfas parasitan pequeños roedores y erizos. Entonces se dejan caer y tras otra muda, en estado ninfal, busca animales más grandes para completar su desarrollo: ovejas, vacas, perros, caballos, cerdos, ciervos, personas...      Son transmisores de virus que pueden ser muy peligrosos.     Suele encontrarse en llanuras y valles así como en zonas boscosas, esperando inmóvil en las hierbas bajas el paso de su hospedador. Se encuentra en zonas cálidas y secas. Se distribuye por el sur y centro de Europa, el norte de África y Oriente Próximo.  Rev: marzo-15 ",Acari,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Mygalomorphae,,Theraphosidae,,Avicularia,avicularia,"           Es una de las arañas más grandes que se conocen. Se alimenta       de cualquier animal que consiga matar (       mamíferos, reptiles,       arañas,       pajarillos...), lo sujeta con       sus potentes mandíbulas y le chupa todo el líquido interno,       dejando tras el banquete un pequeño cadáver medio disecado.                 El veneno de la migala, que no es demasiado peligroso para el hombre,       funciona también de jugo gástrico, al ser inyectado en       las presas para predigerirlas.      ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Lycosa,pseudoannulata,"           Las lycosas son arañas de tamaño mediano o pequeño,       que se distinguen de las demás arañas por su curiosa       vivienda.                 Eligen un agujero del suelo de diámetro adecuado a su       tamaño, y lo forran con un fino tejido de hilos de seda.       Confeccionan también una tapadera que fijan con hilos a uno de       los lados, de manera que funciona como una trampa.                 Los machos son más pequeños y viven alejados de las       hembras, buscándolas sólo para la reproducción.       Inmediatamente después salen huyendo para no pasar a ser un       bocado de su voraz compañera.      ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Araneoidea,Nephilidae,,Nephila,clavata,"   Como todas las arañas de su género, Nephila clavata es conocida por las enormes telarañas que construye, que pueden alcanzar el metro de diámetro, y cuya seda tiene un precioso color dorado.     Tienen el cuerpo cilíndrico y alargado. La hembra es unas cien veces mayor que el macho. El abdomen presenta bandas amarillas y manchas emborronadas azules oscuras y un aro rojo alrededor del órgano productor de seda.     Son venenosas y su picadura provoca en el hombre una grave y dolorosa inflamación de consecuencias imprevisibles.     Habita en el este y sureste asiático, desde Japón a Malaysia.     Estas arañas pasan el invierno en forma de huevo, y se dispersan como larvas en primavera, crecen a lo largo del verano y están sexualmente maduras para el otoño. El diminuto macho se dirige a la telaraña de una hembra y ejecuta unos pasos ritualizados para hacer comprender a la hembra de que no se trata de una presa. Después de la fecundación, la hembra dejarán en un árbol una saco con entre 400 y 1500 huevos.  Rev: marzo-06 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Solifugae,,,Galeodidae,,Galeodes,sp.,"           Estos solífugos presentan un excepcional desarrollo de sus       mandíbulas, que le permiten devorar incluso       lagartijas, a las que chupan sus       jugos internos.                 Con las patas extendidas pueden alcanzar una envergadura superior a los       doce centímetros. Los pedipalpos, que tienen funciones       táctiles, tienen la misma apariencia que las patas locomotoras.      ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Scorpiones,,Buthoidea,Buthidae,,Buthus,occitanus,"   El escorpión amarillo alcanza una longitud de doce centímetros en su edad adulta, es de coloración pardo amarillenta, posee unas grandes pinzas y la cola es más larga que el resto del cuerpo y está rematada por un impresionante aguijón.     Se alimenta de arañas e insectos que paraliza con el veneno de su aguijón. Sus hábitos son nocturnos, pasando las horas del día bajo piedras y matorrales en zonas soleadas.     Vive en las regiones mediterráneas de Europa, extendiéndose hasta el borde sur del desierto de Sahara, con preferencia en lugares pedregosos.      Después de la cópula, la hembra suele devorar al macho. Son vivíparos y, como en otras especies, las crías permanecen sobre la madre hasta la primera muda del exoesqueleto.     Su picadura es muy dolorosa, pero salvo casos de alergia, no suele tener graves consecuencias.  Rev: octubre-09 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Opiliones,Palpatores,Phalangioidea,Phalangiidae,Phalangiinae,Phalangium,opilio,"   El segador tiene unas delgadas patas de hasta 5 centímetros de longitud, que sostienen un cuerpo pequeño, de unos 7 u 8 milímetros de tamaño, donde el cefalotórax y el abdomen son casi indistinguibles. Puede perder algunas de sus patas sin que esto le produzca serios problemas, ya que es capaz de regenerarlas en la muda siguiente. Tienen dos ojos en lo más alto de la región frontal. Carecen de veneno y tampoco son capaces de fabricar seda.     Los machos son más pequeños que las hembras, y sus pedipalpos son alargados y parecidos a las patas locomotoras.     El patrón del dorso varía entre gris claro y marrón, mientras que la cara inferior es en general de color blancuzco.     Suelen verse en verano y otoño sobre prados y arbustos, y también sobre las paredes de las viviendas humanas, donde se alimentan de restos orgánicos.     Tras el apareamiento, la hembra suele devorar al macho. Después depositará los huevos en tocones de árboles en descomposición.     Habita en Norteamérica, Europa y zonas templadas de Asia, en diversos hábitats.  Rev: abril-08 ",,,
